participant,experiment,target,task_type,n_features,n_samples,accuracy_mean,accuracy_std,r2_mean,r2_std
e2,nose_cheeks,robot_predictability,regression,18,954,,,-1.4739702530260956,1.6937045527645194
e2,nose_cheeks,excitement,regression,18,954,,,-0.005324813631522855,0.007530423654808753
e2,nose_cheeks,mental_demand,regression,18,954,,,-14.84255107430718,20.221120472497667
e2,nose_cheeks,rushed_pace,regression,18,954,,,-3.83327317956809,4.633325904095142
e2,nose_cheeks,work_effort,regression,18,954,,,-0.2785723927205357,0.2381244541689765
e2,all_expression,session_type,classification,597,954,0.39412997903563946,0.012665666638988018,,
e2,all_expression,attention,regression,597,954,,,-10.782934488199244,14.592929868802873
e2,all_expression,robot_predictability,regression,597,954,,,-1.4857731431721721,1.685206096279997
e2,all_expression,excitement,regression,597,954,,,-0.005324813631522855,0.007530423654808753
e2,all_expression,mental_demand,regression,597,954,,,-14.486092732300948,19.73850106199685
e2,all_expression,rushed_pace,regression,597,954,,,-3.736815641633813,4.514921741017141
e2,all_expression,work_effort,regression,597,954,,,-0.2392579061325497,0.21078152559208288
e2,mouth_only,session_type,classification,123,954,0.36058700209643607,0.015688290929869793,,
e2,mouth_only,attention,regression,123,954,,,-11.017397818736425,14.961635324893333
e2,mouth_only,robot_predictability,regression,123,954,,,-1.5106738302559737,1.8637322855087193
e2,mouth_only,excitement,regression,123,954,,,-0.005324813631522855,0.007530423654808753
e2,mouth_only,mental_demand,regression,123,954,,,-15.604761598283467,21.447227050654586
e2,mouth_only,rushed_pace,regression,123,954,,,-3.9606455067461077,5.022541906957686
e2,mouth_only,work_effort,regression,123,954,,,-0.23856878417515026,0.23127428865631985
e2,eyes_only,session_type,classification,372,954,0.3805031446540881,0.024493336363832142,,
e2,eyes_only,attention,regression,372,954,,,-10.57094772970387,14.26919964376026
e2,eyes_only,robot_predictability,regression,372,954,,,-1.5032267079089119,1.6498167228138592
e2,eyes_only,excitement,regression,372,954,,,-0.005324813631522855,0.007530423654808753
e2,eyes_only,mental_demand,regression,372,954,,,-14.870854626081233,20.22703016554856
e2,eyes_only,rushed_pace,regression,372,954,,,-3.8205043126209826,4.644293536925433
e2,eyes_only,work_effort,regression,372,954,,,-0.3086460939109157,0.24397706450211312
e23,nose_cheeks,session_type,classification,18,887,0.30325622232401894,0.008408808353063582,,
e23,nose_cheeks,stress_level,regression,18,887,,,-1.225101900047853,1.5725868074510911
e23,nose_cheeks,attention,regression,18,887,,,-0.25049121041923156,0.2253992808325337
e23,nose_cheeks,robot_predictability,regression,18,887,,,-1.5064149580462545,1.7979700791203568
e23,nose_cheeks,excitement,regression,18,887,,,-0.10425369569838527,0.11298740274130586
e23,nose_cheeks,mental_demand,regression,18,887,,,-0.7800598085107174,0.875469201813853
e23,nose_cheeks,rushed_pace,regression,18,887,,,-0.6530143621841087,0.6583640526548287
e23,nose_cheeks,work_effort,regression,18,887,,,-2.0941755251041627,2.7631844009532767
e23,nose_cheeks,stress_annoyance,regression,18,887,,,-34.17220724822413,30.18220518185409
e23,nose_cheeks,success_level,regression,18,887,,,-0.19534050179211473,0.2762531869151746
e23,all_expression,session_type,classification,597,887,0.338250114521301,0.022574291355589207,,
e23,all_expression,stress_level,regression,597,887,,,-1.1327116433890927,1.470572686269522
e23,all_expression,attention,regression,597,887,,,-0.2351287416758837,0.19485022397203822
e23,all_expression,robot_predictability,regression,597,887,,,-1.2171429269322378,1.4962485240501155
e23,all_expression,excitement,regression,597,887,,,-0.16365809053353364,0.18232853161312568
e23,all_expression,mental_demand,regression,597,887,,,-0.7062950031850251,0.754591879324425
e23,all_expression,rushed_pace,regression,597,887,,,-0.5438189539673849,0.45895315249919794
e23,all_expression,work_effort,regression,597,887,,,-2.055018119489807,2.7261063191346686
e23,all_expression,stress_annoyance,regression,597,887,,,-33.79205699597469,29.576764745157245
e23,all_expression,success_level,regression,597,887,,,-0.19534050179211473,0.2762531869151746
e23,mouth_only,session_type,classification,123,887,0.25594747289662545,0.018794433841390467,,
e23,mouth_only,stress_level,regression,123,887,,,-1.280022364805098,1.6265095380816093
e23,mouth_only,attention,regression,123,887,,,-0.21969635315363298,0.2154834851709425
e23,mouth_only,robot_predictability,regression,123,887,,,-1.2925254161154631,1.6271494813314031
e23,mouth_only,excitement,regression,123,887,,,-0.13926116964837817,0.16710480670600264
e23,mouth_only,mental_demand,regression,123,887,,,-0.8211942470513732,0.9384264405439993
e23,mouth_only,rushed_pace,regression,123,887,,,-0.595926483731934,0.5908881247199619
e23,mouth_only,work_effort,regression,123,887,,,-2.1465973100629316,2.7949520989052923
e23,mouth_only,stress_annoyance,regression,123,887,,,-33.30565054958757,29.62282719669864
e23,mouth_only,success_level,regression,123,887,,,-0.19534050179211473,0.2762531869151746
e23,eyes_only,session_type,classification,372,887,0.3100206138341732,0.014923413055392916,,
e23,eyes_only,stress_level,regression,372,887,,,-1.0571981023546997,1.3809051333370082
e23,eyes_only,attention,regression,372,887,,,-0.24290996344271687,0.1892064816590898
e23,eyes_only,robot_predictability,regression,372,887,,,-1.1635884224474482,1.4491617859143981
e23,eyes_only,excitement,regression,372,887,,,-0.19191372382453417,0.22853881564432804
e23,eyes_only,mental_demand,regression,372,887,,,-0.7605010808666671,0.8352676910515618
e23,eyes_only,rushed_pace,regression,372,887,,,-0.6201618595175965,0.536940269094583
e23,eyes_only,work_effort,regression,372,887,,,-2.21875434259225,2.8938076920655753
e23,eyes_only,stress_annoyance,regression,372,887,,,-34.74060447611607,29.680610737464555
e23,eyes_only,success_level,regression,372,887,,,-0.19534050179211473,0.2762531869151746
e27,nose_cheeks,session_type,classification,18,816,0.3235294117647059,0.02956455412209515,,
e27,nose_cheeks,stress_level,regression,18,816,,,-0.5779592947105036,0.5643059942877391
e27,nose_cheeks,attention,regression,18,816,,,-0.8711361355879942,0.6798468252391201
e27,nose_cheeks,robot_predictability,regression,18,816,,,-0.5905866370797571,0.5961159397997565
e27,nose_cheeks,excitement,regression,18,816,,,-3.5387516284063207,3.0595581179668563
e27,nose_cheeks,mental_demand,regression,18,816,,,-3.5246816577817195,3.0789543052341366
e27,nose_cheeks,rushed_pace,regression,18,816,,,-20.438460866155797,28.20508496793759
e27,nose_cheeks,work_effort,regression,18,816,,,-1.7081547849308807,1.7125449213298627
e27,nose_cheeks,stress_annoyance,regression,18,816,,,-35.05200521376522,40.516390743743166
e27,nose_cheeks,success_level,regression,18,816,,,-0.5871688643125389,0.7623862557574063
e27,all_expression,session_type,classification,597,816,0.3455882352941177,0.01671345796199248,,
e27,all_expression,stress_level,regression,597,816,,,-0.5472519480245803,0.5001708845321658
e27,all_expression,attention,regression,597,816,,,-0.8474269947167796,0.6167193348008575
e27,all_expression,robot_predictability,regression,597,816,,,-0.6357802634538725,0.7125340158002964
e27,all_expression,excitement,regression,597,816,,,-3.1179945315322244,2.621422343907288
e27,all_expression,mental_demand,regression,597,816,,,-3.5720472174375,3.198741348424427
e27,all_expression,rushed_pace,regression,597,816,,,-17.751982131186526,24.518378711219405
e27,all_expression,work_effort,regression,597,816,,,-1.6931913006592254,1.7194057160473175
e27,all_expression,stress_annoyance,regression,597,816,,,-41.66620162365053,50.08972604344892
e27,all_expression,success_level,regression,597,816,,,-0.5476620223784004,0.7493631605632604
e27,mouth_only,session_type,classification,123,816,0.29411764705882354,0.026169309441253216,,
e27,mouth_only,stress_level,regression,123,816,,,-0.5205926182650084,0.47001563395728924
e27,mouth_only,attention,regression,123,816,,,-0.7598666910993703,0.729343078669713
e27,mouth_only,robot_predictability,regression,123,816,,,-0.7140159186788594,0.8032131085964593
e27,mouth_only,excitement,regression,123,816,,,-3.030492544904797,2.9011089209787273
e27,mouth_only,mental_demand,regression,123,816,,,-3.6448794448635993,3.7318200538096296
e27,mouth_only,rushed_pace,regression,123,816,,,-21.73823628659299,30.133615735053326
e27,mouth_only,work_effort,regression,123,816,,,-1.7845067498313574,2.0264770651158557
e27,mouth_only,stress_annoyance,regression,123,816,,,-39.40350500536808,46.53489661487045
e27,mouth_only,success_level,regression,123,816,,,-0.6015038628302917,0.734630227597628
e27,eyes_only,session_type,classification,372,816,0.30514705882352944,0.015884168378450633,,
e27,eyes_only,stress_level,regression,372,816,,,-0.6294365432347946,0.5964720687664176
e27,eyes_only,attention,regression,372,816,,,-0.8675183518851832,0.6919430773682708
e27,eyes_only,robot_predictability,regression,372,816,,,-0.7189574175625782,0.7624740135870703
e27,eyes_only,excitement,regression,372,816,,,-3.3942108202596515,3.1821415268299997
e27,eyes_only,mental_demand,regression,372,816,,,-4.044636459997023,3.7854052424315494
e27,eyes_only,rushed_pace,regression,372,816,,,-20.111949381923488,27.909917498047548
e27,eyes_only,work_effort,regression,372,816,,,-1.8825862622446088,2.0576795913162966
e27,eyes_only,stress_annoyance,regression,372,816,,,-41.46814506414161,48.62750880856503
e27,eyes_only,success_level,regression,372,816,,,-0.5848505932796968,0.7614550905683871
e29,nose_cheeks,session_type,classification,18,864,0.332175925925926,0.008661243950865599,,
e29,nose_cheeks,stress_level,regression,18,864,,,-4.760763428692619,3.481577922855791
e29,nose_cheeks,attention,regression,18,864,,,-0.4205017367046584,0.02108509141738243
e29,nose_cheeks,robot_predictability,regression,18,864,,,-3.3973005356492387,2.2676380454467457
e29,nose_cheeks,excitement,regression,18,864,,,-0.7272548166307878,0.36992158359314925
e29,nose_cheeks,mental_demand,regression,18,864,,,-8.822118625269715,11.15132736193469
e29,nose_cheeks,rushed_pace,regression,18,864,,,-1.7123721533555323,1.525858111699152
e29,nose_cheeks,work_effort,regression,18,864,,,-1.574895489379682,0.24753892769325672
e29,nose_cheeks,stress_annoyance,regression,18,864,,,-24.269775524039247,33.72880388258049
e29,nose_cheeks,success_level,regression,18,864,,,-1.510506008416649,0.8003504091164771
e29,all_expression,session_type,classification,597,864,0.3194444444444444,0.018590715745612284,,
e29,all_expression,stress_level,regression,597,864,,,-4.582898633747914,3.478716679975902
e29,all_expression,attention,regression,597,864,,,-0.34530351307997637,0.08580849540054715
e29,all_expression,robot_predictability,regression,597,864,,,-3.4918342029445424,2.4294512264814987
e29,all_expression,excitement,regression,597,864,,,-0.8115980764631484,0.42690999980261357
e29,all_expression,mental_demand,regression,597,864,,,-8.589418204084717,10.714208086739651
e29,all_expression,rushed_pace,regression,597,864,,,-1.5016574443672086,1.3614619107957233
e29,all_expression,work_effort,regression,597,864,,,-1.4053265912334278,0.17355899901086078
e29,all_expression,stress_annoyance,regression,597,864,,,-25.959563776839122,36.17891816281673
e29,all_expression,success_level,regression,597,864,,,-1.2688633115596992,0.6017103125325295
e29,mouth_only,session_type,classification,123,864,0.2650462962962963,0.016368212527466373,,
e29,mouth_only,stress_level,regression,123,864,,,-4.391037442042404,3.6268958931837423
e29,mouth_only,attention,regression,123,864,,,-0.39016121439708695,0.09993620016613203
e29,mouth_only,robot_predictability,regression,123,864,,,-3.573528212602256,2.40027404565351
e29,mouth_only,excitement,regression,123,864,,,-0.6953620885432095,0.39302362090844034
e29,mouth_only,mental_demand,regression,123,864,,,-7.062584343856689,8.619970633200337
e29,mouth_only,rushed_pace,regression,123,864,,,-1.374739526988052,1.2077207598545538
e29,mouth_only,work_effort,regression,123,864,,,-1.2183513727112938,0.0482760751222874
e29,mouth_only,stress_annoyance,regression,123,864,,,-21.23513298371372,29.495526800237787
e29,mouth_only,success_level,regression,123,864,,,-1.1577079376125747,0.5929116104705925
e29,eyes_only,session_type,classification,372,864,0.29398148148148145,0.02050931151234879,,
e29,eyes_only,stress_level,regression,372,864,,,-4.366275472091538,3.5889993014262807
e29,eyes_only,attention,regression,372,864,,,-0.38176057455302503,0.10408463571497492
e29,eyes_only,robot_predictability,regression,372,864,,,-3.621410143204224,2.585014922099441
e29,eyes_only,excitement,regression,372,864,,,-0.7512548074819483,0.3928265080089908
e29,eyes_only,mental_demand,regression,372,864,,,-7.44257238826084,9.064452433916431
e29,eyes_only,rushed_pace,regression,372,864,,,-1.3658050809241857,1.0826103320386837
e29,eyes_only,work_effort,regression,372,864,,,-1.286254551396579,0.06537042811693457
e29,eyes_only,stress_annoyance,regression,372,864,,,-22.77457118463933,31.57109487919705
e29,eyes_only,success_level,regression,372,864,,,-1.150044630062232,0.6034026728172535
e3,nose_cheeks,session_type,classification,18,526,,,,
e3,nose_cheeks,excitement,regression,18,526,,,-1.2522522522522523,1.7709521186473896
e3,nose_cheeks,mental_demand,regression,18,526,,,-1.971961532574384,2.021002336237264
e3,nose_cheeks,rushed_pace,regression,18,526,,,-2.348687176006837,2.289769494602889
e3,nose_cheeks,work_effort,regression,18,526,,,-2.348687176006837,2.289769494602889
e3,all_expression,session_type,classification,597,526,,,,
e3,all_expression,excitement,regression,597,526,,,-1.2522522522522523,1.7709521186473896
e3,all_expression,mental_demand,regression,597,526,,,-1.802961371104366,1.8506283070420648
e3,all_expression,rushed_pace,regression,597,526,,,-2.3117583814190215,2.2708590725268163
e3,all_expression,work_effort,regression,597,526,,,-2.3117583814190215,2.2708590725268163
e3,mouth_only,session_type,classification,123,526,,,,
e3,mouth_only,excitement,regression,123,526,,,-1.2522522522522523,1.7709521186473896
e3,mouth_only,mental_demand,regression,123,526,,,-2.1093146560720677,1.894538375100622
e3,mouth_only,rushed_pace,regression,123,526,,,-2.9785278767777092,2.7296552938168337
e3,mouth_only,work_effort,regression,123,526,,,-2.9785278767777092,2.7296552938168337
